length,width,fin_count,Simulation_temperature,Surface_temperature,
130,85,25,69.35,62.78,
30,85,25,76.78,62.32,
130,30,2,75.25,62.19,
80,85,2,72.02,62.59,
105,57.5,13,71.34,62.95,
30,57.5,2,77.94,62.36,
80,43.75,25,76.24,62.88,
55,71.25,13,74,62.56,
105,30,25,74.56,62.64,
30,30,25,84.26,62.29,
130,57.5,25,70.98,62.78,
105,85,13,69.97,63.01,
80,30,2,78.08,62.33,
80,57.5,2,74.55,62.69,
80,71.25,25,73.55,62.84,
130,71.25,2,70.72,62.42,
30,30,2,82.21,62.3,
30,57.5,25,80.12,62.36,
30,85,2,75.24,62.36,
105,30,2,76.48,62.29,
130,30,25,73.01,62.62,
55,43.75,25,79.07,62.53,
55,85,25,74.18,62.42,
105,71.25,25,71.51,62.97,
30,43.75,13,80.77,62.39,
30,71.25,13,77.45,62.42,
55,43.75,2,77.68,62.39,
55,85,2,73.14,62.31,
105,71.25,2,71.68,62.57,
